Departamento,Indicador,Año,Dato Numérico
Amazonas,Cobertura bruta en educación - Total,2005.0,88.09
Amazonas,Cobertura bruta en educación - Total,2006.0,89.96
Amazonas,Cobertura bruta en educación - Total,2007.0,93.67
Amazonas,Cobertura bruta en educación - Total,2008.0,94.47
Amazonas,Cobertura bruta en educación - Total,2009.0,94.81
Amazonas,Cobertura bruta en educación - Total,2010.0,95.03
Amazonas,Cobertura bruta en educación - Total,2011.0,101.6
Amazonas,Cobertura bruta en educación - Total,2012.0,103.62
Amazonas,Cobertura bruta en educación - Total,2013.0,104.15
Amazonas,Cobertura bruta en educación - Total,2014.0,103.22
Amazonas,Cobertura bruta en educación - Total,2015.0,103.75
Amazonas,Cobertura bruta en educación - Total,2016.0,105.47
Amazonas,Cobertura bruta en educación - Total,2017.0,106.55
Amazonas,Cobertura bruta en educación - Total,2018.0,92.27
Amazonas,Cobertura bruta en educación - Total,2019.0,92.24
Amazonas,Cobertura bruta en educación - Total,2020.0,90.11
Amazonas,Cobertura bruta en educación - Total,2021.0,90.91
Amazonas,Cobertura bruta en educación - Total,2022.0,86.94
Amazonas,Cobertura bruta en educación básica,2005.0,97.65
Amazonas,Cobertura bruta en educación básica,2006.0,99.56
Amazonas,Cobertura bruta en educación básica,2007.0,103.42
Amazonas,Cobertura bruta en educación básica,2008.0,103.54
Amazonas,Cobertura bruta en educación básica,2009.0,105.48
Amazonas,Cobertura bruta en educación básica,2010.0,100.75
Amazonas,Cobertura bruta en educación básica,2011.0,108.83
Amazonas,Cobertura bruta en educación básica,2012.0,111.19
Amazonas,Cobertura bruta en educación básica,2013.0,110.93
Amazonas,Cobertura bruta en educación básica,2014.0,109.51
Amazonas,Cobertura bruta en educación básica,2015.0,109.81
Amazonas,Cobertura bruta en educación básica,2016.0,111.35
Amazonas,Cobertura bruta en educación básica,2017.0,111.58
Amazonas,Cobertura bruta en educación básica,2018.0,95.75
Amazonas,Cobertura bruta en educación básica,2019.0,96.43
Amazonas,Cobertura bruta en educación básica,2020.0,94.26
Amazonas,Cobertura bruta en educación básica,2021.0,95.31
Amazonas,Cobertura bruta en educación básica,2022.0,90.91
Amazonas,Cobertura bruta en educación media,2005.0,57.75
Amazonas,Cobertura bruta en educación media,2006.0,60.65
Amazonas,Cobertura bruta en educación media,2007.0,65.76
Amazonas,Cobertura bruta en educación media,2008.0,68.04
Amazonas,Cobertura bruta en educación media,2009.0,62.22
Amazonas,Cobertura bruta en educación media,2010.0,64.01
Amazonas,Cobertura bruta en educación media,2011.0,62.96
Amazonas,Cobertura bruta en educación media,2012.0,63.84
Amazonas,Cobertura bruta en educación media,2013.0,68.33
Amazonas,Cobertura bruta en educación media,2014.0,70.14
Amazonas,Cobertura bruta en educación media,2015.0,71.69
Amazonas,Cobertura bruta en educación media,2016.0,74.31
Amazonas,Cobertura bruta en educación media,2017.0,79.72
Amazonas,Cobertura bruta en educación media,2018.0,72.45
Amazonas,Cobertura bruta en educación media,2019.0,68.87
Amazonas,Cobertura bruta en educación media,2020.0,67.48
Amazonas,Cobertura bruta en educación media,2021.0,67.33
Amazonas,Cobertura bruta en educación media,2022.0,65.98
Amazonas,Cobertura bruta en educación primaria,2005.0,104.41
Amazonas,Cobertura bruta en educación primaria,2006.0,108.61
Amazonas,Cobertura bruta en educación primaria,2007.0,116.72
Amazonas,Cobertura bruta en educación primaria,2008.0,115.69
Amazonas,Cobertura bruta en educación primaria,2009.0,119.22
Amazonas,Cobertura bruta en educación primaria,2010.0,114.71
Amazonas,Cobertura bruta en educación primaria,2011.0,125.31
Amazonas,Cobertura bruta en educación primaria,2012.0,123.81
Amazonas,Cobertura bruta en educación primaria,2013.0,119.61
Amazonas,Cobertura bruta en educación primaria,2014.0,121.34
Amazonas,Cobertura bruta en educación primaria,2015.0,118.53
Amazonas,Cobertura bruta en educación primaria,2016.0,117.62
Amazonas,Cobertura bruta en educación primaria,2017.0,117.06
Amazonas,Cobertura bruta en educación primaria,2018.0,100.4
Amazonas,Cobertura bruta en educación primaria,2019.0,100.49
Amazonas,Cobertura bruta en educación primaria,2020.0,98.64
Amazonas,Cobertura bruta en educación primaria,2021.0,99.63
Amazonas,Cobertura bruta en educación primaria,2022.0,95.9
Amazonas,Cobertura bruta en educación secundaria,2005.0,75.43
Amazonas,Cobertura bruta en educación secundaria,2006.0,75.45
Amazonas,Cobertura bruta en educación secundaria,2007.0,74.59
Amazonas,Cobertura bruta en educación secundaria,2008.0,77.34
Amazonas,Cobertura bruta en educación secundaria,2009.0,80.27
Amazonas,Cobertura bruta en educación secundaria,2010.0,82.62
Amazonas,Cobertura bruta en educación secundaria,2011.0,88.96
Amazonas,Cobertura bruta en educación secundaria,2012.0,94.66
Amazonas,Cobertura bruta en educación secundaria,2013.0,101.21
Amazonas,Cobertura bruta en educación secundaria,2014.0,98.37
Amazonas,Cobertura bruta en educación secundaria,2015.0,105.09
Amazonas,Cobertura bruta en educación secundaria,2016.0,107.08
Amazonas,Cobertura bruta en educación secundaria,2017.0,105.7
Amazonas,Cobertura bruta en educación secundaria,2018.0,93.51
Amazonas,Cobertura bruta en educación secundaria,2019.0,91.77
Amazonas,Cobertura bruta en educación secundaria,2020.0,91.48
Amazonas,Cobertura bruta en educación secundaria,2021.0,94.61
Amazonas,Cobertura bruta en educación secundaria,2022.0,85.35
Amazonas,Cobertura bruta en transición,2005.0,104.87
Amazonas,Cobertura bruta en transición,2006.0,100.74
Amazonas,Cobertura bruta en transición,2007.0,97.27
Amazonas,Cobertura bruta en transición,2008.0,97.11
Amazonas,Cobertura bruta en transición,2009.0,87.09
Amazonas,Cobertura bruta en transición,2010.0,102.13
Amazonas,Cobertura bruta en transición,2011.0,104.51
Amazonas,Cobertura bruta en transición,2012.0,114.21
Amazonas,Cobertura bruta en transición,2013.0,105.63
Amazonas,Cobertura bruta en transición,2014.0,93.9
Amazonas,Cobertura bruta en transición,2015.0,85.08
Amazonas,Cobertura bruta en transición,2016.0,96.31
Amazonas,Cobertura bruta en transición,2017.0,105.9
Amazonas,Cobertura bruta en transición,2018.0,81.5
Amazonas,Cobertura bruta en transición,2019.0,94.34
Amazonas,Cobertura bruta en transición,2020.0,83.44
Amazonas,Cobertura bruta en transición,2021.0,76.58
Amazonas,Cobertura bruta en transición,2022.0,88.42
Amazonas,Cobertura en educación superior,2005.0,4.33
Amazonas,Cobertura en educación superior,2006.0,6.04
Amazonas,Cobertura en educación superior,2007.0,5.8
Amazonas,Cobertura en educación superior,2008.0,6.09
Amazonas,Cobertura en educación superior,2009.0,11.39
Amazonas,Cobertura en educación superior,2010.0,13.33
Amazonas,Cobertura en educación superior,2011.0,11.43
Amazonas,Cobertura en educación superior,2012.0,10.28
Amazonas,Cobertura en educación superior,2013.0,8.31
Amazonas,Cobertura en educación superior,2014.0,7.38
Amazonas,Cobertura en educación superior,2015.0,6.53
Amazonas,Cobertura en educación superior,2016.0,10.85
Amazonas,Cobertura en educación superior,2017.0,7.64
Amazonas,Cobertura en educación superior,2018.0,8.81
Amazonas,Cobertura en educación superior,2019.0,9.78
Amazonas,Cobertura en educación superior,2020.0,12.04
